guid,nickname,latitude,longitude,river,road,town,state,draining_area,icao,description,funding,operator_uid,colloc_uid,link_uid,downstream_uid,upstream_uid,private,status,status_message,day,avg_nitrate_con,avg_r_exc,avg_m_exc,avg_temp_water,avg_ph,avg_spec_cond,avg_diss_oxy_con,avg_diss_oxy_sat,avg_chloro_v,avg_chloro_con,avg_turbi_mean,avg_turbi_var,avg_turbi_med,avg_turbi_bes,avg_turbi_min,avg_turbi_max,avg_dts_temp_water,avg_phosphate_con,avg_ph_v2,avg_spec_cond_v2,avg_diss_oxy_con_v2
WQP0005,Coldwater Cave,43.4666,-91.9603,Coldwater Cave,NULL,Kendallville,IA,1,KDSM,Coldwater Cave project site,NULL,iihr,NULL,NULL,NULL,NULL,FALSE,ok,Real-time data currently unavailable for selected parameter.,3/10/2026,5.81,2.85,2.79,,,,,,,,2.19,0.04,2.16,2.16,1.94,3.29,8.5,,7.81,618.16,9.82
WQP0006,Saturated Waterway 1,42.3025,-92.5904,Saturated Waterway 1,NULL,Reinbeck,IA,1,KDSM,NULL,NULL,iihr,NULL,NULL,NULL,NULL,FALSE,ok,Real-time data currently unavailable for selected parameter.,3/10/2026,4.69,0.25,0.97,,,,,,,,,,,,,,,,,,
WQP0007,Saturated Waterway 2,42.3037,-92.5914,Saturated Waterway 2,NULL,Reinbeck,IA,1,KDSM,NULL,NULL,iihr,NULL,NULL,NULL,NULL,FALSE,ok,Real-time data currently unavailable for selected parameter.,3/10/2026,2.02,0.1,0.41,4.27,11.53,62.6,2.46,2.46,0.63,,,,,,,,,,,,
WQP0010,WQP10 IRM,42.067,-92.908,Iowa River,HWY 14,Marshalltown,IA,1,KMIW,NULL,NULL,iihr,{05451500},NULL,NULL,NULL,FALSE,ok,Real-time data currently unavailable for selected parameter. Sensors will be redeployed Spring 2026.,3/10/2026,11.94,0.6,1.17,,,,,,,,371.74,2942.01,367.34,368.59,313.07,456.25,7.84,,,,
WQP0014,WQP 14,41.6296,-90.7542,In-Field Research Project,NULL,Walcott,IA,1,KDSM,NULL,NULL,iihr,NULL,NULL,NULL,NULL,FALSE,ok,Real-time data currently unavailable for selected parameter.,3/10/2026,23.21,2.92,2.81,,,,,,,,6.6,0.63,6.59,6.58,6.2,7.6,4.4,,,,
WQS0031,31gwBSFH,42.9104,-91.4707,Groundwater / Spring,Big Springs Rd,Elkader,IA,103,KDEH,NULL,IIHR,iihr,NULL,434457,{05412500},"{WQS0016,WQS0009,WQS0015,WQS0017}",FALSE,ok,Real-time data currently unavailable for selected parameter.,3/10/2026,13.05,0.46,1.89,,,,,,,,,,,,,,,,,,
WQS0047,47ARSWC2,41.601,-93.296,Walnut Creek,Iowa 163,Prairie City,IA,7,KDSM,This site is operated by USDA-ARS and is located at the Neal Smith Wildlife Refuge.,USDA-ARS,usda,NULL,207267,"{WQS0046,WQS0033}",NULL,FALSE,ok,Real-time data currently unavailable for selected parameter.,3/10/2026,13.09,0.44,1.44,,,,,,,,,,,,,,,,,,
WQS0048,48ARSTC,42.3178,-93.2514,Tipton Creek,M Avenue,Hubbard,IA,72,KIFA,This site is operated by USDA-ARS and is located in the SF Iowa River watershed.,USDA-ARS,usda,NULL,335622,"{WQS0001,WQS0006,05453520,WQS0024,05465500}",NULL,FALSE,maintenance,Real-time data currently unavailable for selected parameter. Sensors will be redeployed Spring 2026.,3/10/2026,22.46,0.49,1.39,,,,,,,,,,,,,,,,,,
WQS0051,51ARSBC,42.339,-93.1251,Beaver Creek,250th St,Eldora,IA,70,KIFA,This site is operated by USDA-ARS and is located in the SF Iowa River watershed.,NULL,usda,NULL,336363,"{WQS0001,WQS0006,05453520,05465500}",NULL,FALSE,maintenance,Real-time data currently unavailable for selected parameter. Sensors will be redeployed Spring 2026.,3/10/2026,14.27,0.62,1.27,,,,,,,,,,,,,,,,,,
WQS0054,54ARSWC3T,41.9649,-93.6796,"Drainage tile, Walnut Creek",E57,Ames,IA,2,KAMW,This is an ARS tile site.,NULL,usda,NULL,NULL,NULL,NULL,FALSE,ok,Real-time data currently unavailable for selected parameter.,3/10/2026,19.65,0.33,1.13,,,,,,,,,,,,,,,,,,
